no_plate,color,company_name,model_year,vehicle_type,date_stolen,district_name,No_Police_Areas,month,vehicle_age
PDL646,BLACK,VOLKSWAGEN,2010,CAR,2024-05-10,Counties/Manukau,4,May,14
LTK279,SILVER,BMW,2006,CAR,2024-05-10,Counties/Manukau,4,May,18
GLP884,WHITE,TOYOTA,2012,CAR,2024-05-11,Counties/Manukau,4,May,12
MYVUU,GOLD,VOLKSWAGEN,1974,CAR,2024-05-11,Counties/Manukau,4,May,50
JZH900,SILVER,NISSAN,2006,CAR,2024-05-11,Counties/Manukau,4,May,18
NUU919,WHITE,NISSAN,2014,UTILITY TRUCK,2024-05-11,Counties/Manukau,4,May,10
LKE67,GREY,HOLDEN,2018,CAR,2024-05-11,Counties/Manukau,4,May,6
QND106,GREY,MITSUBISHI,2024,CAR,2024-05-11,Counties/Manukau,4,May,0
NBE233,WHITE,HONDA,2009,CAR,2024-05-11,Counties/Manukau,4,May,15
EEG867,BLACK,HONDA,2004,CAR,2024-05-12,Counties/Manukau,4,May,20
T682L,WHITE,HOMEBUILT,2012,TRAILER,2024-05-12,Counties/Manukau,4,May,12
GSB754,WHITE,TOYOTA,2009,CAR,2024-05-12,Counties/Manukau,4,May,15
QEZ67,WHITE,TOYOTA,2005,CAR,2024-05-12,Counties/Manukau,4,May,19
C8SGN,BLACK,YAMAHA,2023,MOTORCYCLE,2024-05-12,Counties/Manukau,4,May,1
C8LAF,RED,SUZUKI,2008,MOTORCYCLE,2024-05-12,Counties/Manukau,4,May,16
OR489,BLUE,MITSUBISHI,1989,CAR,2024-05-12,Counties/Manukau,4,May,35
QBK908,BLACK,HONDA,2013,CAR,2024-05-13,Counties/Manukau,4,May,11
GDS764,SILVER,TOYOTA,2002,CAR,2024-05-13,Counties/Manukau,4,May,22
KTK552,WHITE,HOLDEN,2017,CAR,2024-05-13,Counties/Manukau,4,May,7
PZH397,BLUE,TOYOTA,2012,CAR,2024-05-13,Counties/Manukau,4,May,12
LSF708,BLACK,CHEVROLET,1993,CAR,2024-05-13,Counties/Manukau,4,May,31
HPN623,SILVER,MAZDA,2005,CAR,2024-05-13,Counties/Manukau,4,May,19
QNQ436,SILVER,SUBARU,2000,CAR,2024-05-13,Counties/Manukau,4,May,24
NGD493,BLACK,LDV,2021,CAR,2024-05-13,Counties/Manukau,4,May,3
ENR330,WHITE,MITSUBISHI,2008,UTILITY TRUCK,2024-05-13,Counties/Manukau,4,May,16
YJ8160,BLUE,MITSUBISHI,1999,UTILITY TRUCK,2024-05-13,Counties/Manukau,4,May,25
QJY472,BLUE,SUZUKI,2024,CAR,2024-05-14,Counties/Manukau,4,May,0
MUM141,BLACK,TOYOTA,2009,CAR,2024-05-14,Counties/Manukau,4,May,15
QKR735,BLUE,MAZDA,2013,CAR,2024-05-14,Counties/Manukau,4,May,11
B9FJQ,WHITE,KAWASAKI,2014,MOTORCYCLE,2024-05-14,Counties/Manukau,4,May,10
LCC942,BLUE,YAMAHA,2017,MOTORCYCLE,2024-05-14,Counties/Manukau,4,May,7
BLC880,GREEN,TOYOTA,1996,CAR,2024-05-14,Counties/Manukau,4,May,28
9C667,SILVER,HOMEBUILT,2018,TRAILER,2024-05-14,Counties/Manukau,4,May,6
