no_plate,color,company_name,model_year,vehicle_type,date_stolen,district_name,No_Police_Areas,month,vehicle_age
PZQ399,SILVER,MAZDA,1999,CAR,2023-10-14,Bay of Plenty,4,October,25
LLF27,BLACK,MAZDA,2009,CAR,2023-10-15,Bay of Plenty,4,October,15
EJM12,SILVER,TOYOTA,1998,CAR,2023-10-16,Bay of Plenty,4,October,26
C4GUS,BLACK,FORZA,2021,MOTORCYCLE,2023-10-16,Bay of Plenty,4,October,3
343F2,WHITE,ELDDIS,2004,CAMPER,2023-10-16,Bay of Plenty,4,October,20
PX1000,WHITE,JAGUAR,1991,CAR,2023-10-17,Bay of Plenty,4,October,33
FPH225,GREY,SUBARU,2004,CAR,2023-10-18,Bay of Plenty,4,October,20
PPY100,SILVER,AUDI,2009,CAR,2023-10-18,Bay of Plenty,4,October,15
FJL491,BLACK,MAZDA,2001,CAR,2023-10-18,Bay of Plenty,4,October,23
66Q67,SILVER,HOMEBUILT,2020,TRAILER,2023-10-19,Bay of Plenty,4,October,4
DUE345,GREY,NISSAN,2007,CAR,2023-10-19,Bay of Plenty,4,October,17
FWN334,SILVER,TOYOTA,2008,UTILITY TRUCK,2023-10-20,Bay of Plenty,4,October,16
