no_plate,color,company_name,vehicle_desc,model_year,vehicle_type,date_stolen,district_name
0ASR,White,Mazda,BT-50,2017,Utility,11/28/2023,Waitemata
0FATTY,Grey,Nissan,NAVARA,2018,Utility,11/23/2023,Central
101W2,Silver,Trailer,ALLROAD,2021,Trailer,3/27/2024,Wellington
102455,Yellow,Suzuki,LT250L9,2019,Quad - Four Wheeler,12/20/2023,Canterbury
107W5,Silver,Briford,8X4,2021,Trailer,5/9/2024,Canterbury
10D57,Silver,Factory Built,BRENT SMITH TRAILERS,2018,Trailer,4/11/2024,Bay of Plenty
10E23,Silver,Trailer,BENS JETSKI,2018,Boat Trailer,11/26/2023,Canterbury
10S26,Silver,Trailer,CUSTOMER,2018,Boat Trailer,2/26/2024,Auckland City
11770,,Honda,XR190CT,2023,,2/16/2024,Central
117G8,Silver,Trailer,IFOR WILLIAMS,2021,Trailer - Heavy,12/27/2023,Auckland City
119C8,Silver,Pinto,WELLSIDE,2004,Trailer,12/30/2023,Central
11G60,Silver,Briford,TRAILER,2018,Trailer - Heavy,12/12/2023,Waitemata
12345,Yellow,Volvo,EC140 DL,2017,,2/21/2024,Bay of Plenty
123M7,Silver,Trailer,SAFARI,2021,Trailer,1/2/2024,Tasman
125I,Silver,Trailer,REID,1998,Boat Trailer,12/6/2023,Waitemata
126Q5,Silver,Titan,DOMESTIC TRAILER,2021,Trailer,3/11/2024,Wellington
128K3,Silver,Factory Built,FARNLEYS JETSKIS,2021,Boat Trailer,12/20/2023,Canterbury
12TZZ,Yellow,Honda,VTR,1999,Roadbike,1/18/2024,Canterbury
134U5,Grey,Trailer,HOME BUILT,1995,Trailer,1/8/2024,Waikato
1351G,Grey,Trailer,DOMESTIC TRAILER,1997,Trailer,4/9/2024,Waikato
136H9,Grey,Trailer,BST530QR,2021,Boat Trailer,3/3/2024,Central
136P3,Silver,Trailer,ELITE 7 X 4,2021,Trailer,4/19/2024,Canterbury
13B21,Silver,Trailer,7X4 HAULER,2018,Trailer,1/8/2024,Waikato
13J57,Silver,Trailer,DOMESTIC,2018,Trailer,2/3/2024,Wellington
146H1,White,Caravan,ABBEY FREESTYLE 520,2008,Caravan,2/22/2024,Canterbury
14J57,Silver,Factory Built,BRENT SMITH TRAILERS,2018,Trailer,4/2/2024,Auckland City
14QLX,Brown,Homebuilt,LOCAL,1987,Trailer - Heavy,1/1/2024,Waikato
